cycle,time,start_point,via_point,destination,base_fare,category,driver_id
135,05:20:00,大灣三街,,診所,275,診所,533
135,07:30:00,中華北路,,診所,135,診所,533
135,08:00:00,和緯152,,診所,105,診所,533
135,15:25:00,北門二段,小北路+民德105,診所,165,診所,533
135,10:40:00,診所,,大灣二街,275,診所,533
135,11:30:00,永大路,,診所,280,診所,533
135,12:10:00,診所,,中華北路,135,診所,533
135,12:35:00,診所,,和緯152,105,診所,533
135,09:50:00,仁和路,,診所,220,診所,533
135,14:40:00,診所,,仁和路,220,診所,533
135,10:00:00,安定,,診所,500,診所,5386
135,15:00:00,診所,,安定,500,診所,5386
135,09:50:00,診所,,長溪路,210,診所,61553
135,14:30:00,育德二路,民德58,診所,90,診所,61553
135,14:50:00,同安路,,診所,220,診所,61553
135,15:15:00,診所,,永大路,280,診所,61553
135,06:20:00,中華南路,新建路,診所,220,診所,28530
135,10:00:00,健康三街,,府前二街,250,診所,28530
135,11:15:00,診所,新建路,中華南路,220,診所,28530
135,15:40:00,診所,府前二街,健康三街,250,診所,28530
135,16:00:00,診所,,民德58,110,診所,28530
246,06:00:00,怡平路,忠孝街,診所,140,診所,533
246,06:30:00,古堡街,安北路+和緯五,診所,230,診所,533
246,11:00:00,診所,,和緯五+安北路+古堡街,270,診所,533
246,10:50:00,診所,,忠孝街,85,診所,533
246,10:20:00,公園南路,海安路,診所,90,診所,533
246,11:30:00,金華路,,診所,190,診所,533
246,06:20:00,灣裡路,,診所,340,診所,5386
246,11:00:00,診所,,灣裡路,340,診所,5386
246,11:50:00,馬鎮宮,,診所,330,診所,5386
246,16:00:00,診所,金華路,馬鎮宮,355,診所,533
246,15:30:00,診所,文賢路,和緯四,140,診所,533
246,10:30:00,信智,,診所,140,診所,61553
246,10:50:00,和緯四,文賢路,診所,140,診所,61553
246,15:30:00,診所,,信智,140,診所,5386
246,11:10:00,南寧街,,診所,120,診所,61553
246,15:15:00,診所,,南寧街,120,診所,533
246,14:40:00,診所,海安路,公園南路,90,診所,5386
135,06:20:00,二井,,東洋,1400,東洋,5386
12345,17:30:00,東洋,,二井,1400,東洋,5386
24,06:20:00,二井,,東洋,1400,東洋,28530
24,07:10:00,久保田,新戶,東洋,360,東洋,5386
135,07:10:00,久保田,新戶,東洋,360,東洋,28530
12345,17:30:00,東洋,,新戶,360,東洋,28530
