effective_nhi_drug_code,raw_nhi_drug_code,corrected_nhi_drug_code,source_photos,occurrence_count,official_drug_name_zh,official_drug_name_en,official_ingredient,official_atc_code,candidate_drug_item_id,drug_item_generic_name,drug_item_brand_name,match_method,confidence,candidate_status,reason,recommended_next_action
AA48333100,AA48333100,,IMG_7364.jpeg,2,欣促胰錠30毫克,GLUTAZONE TABLETS 30MG,PIOGLITAZONE 30 MG,A10BG03,47,Pioglitazone,Glitos/Glutazone 欣促胰,ingredient_match+brand_token_match+token_contains_match+zh_contains_match,high,strong_match,generic_name appears in official ingredient/name; official brand token hits: glutazone; official token hits: pioglitazone; official Chinese term hits: 欣促胰,review_and_approve_mapping
AB091021G0,AB091021G0,,IMG_7284.JPG,2,"""生達""心律錠10毫克",PROPRANOLOL TABLETS 10MG,PROPRANOLOL HCL 10 MG,C07AA05,64,Propranolol,Propranolol(Inderol) 心律,ingredient_match+brand_token_match+token_contains_match+zh_contains_match,high,strong_match,generic_name appears in official ingredient/name; official brand token hits: propranolol; official token hits: propranolol; official Chinese term hits: 心律,review_and_approve_mapping
AB307491G0,AB307491G0,,IMG_7364.jpeg; IMG_7508.JPG,2,來喜妥錠４０毫克（服樂泄麥）,RASITOL TABLETS 40MG (FUROSEMIDE),FUROSEMIDE 40 MG,C03CA01,40,Furosemide,Lasix/Rasitol 來喜妥,ingredient_match+brand_token_match+token_contains_match+zh_contains_match,high,strong_match,generic_name appears in official ingredient/name; official brand token hits: rasitol; official token hits: furosemide; official Chinese term hits: 來喜妥,review_and_approve_mapping
AB388671G0,AB388671G0,,IMG_7564.jpeg; IMG_7721.jpeg,3,"""生達""壓平樂膜衣錠５０毫克（阿廷諾）","ATEOL F.C. TABLETS 50MG ""STANDARD"" (ATENOLOL)",ATENOLOL 50 MG,C07AB03,58,Atenolol,Ateol(Tenomin)UROSIN 壓平樂,ingredient_match+brand_token_match+token_contains_match+zh_contains_match,high,strong_match,generic_name appears in official ingredient/name; official brand token hits: ateol; official token hits: atenolol; official Chinese term hits: 壓平樂,review_and_approve_mapping
AB45348100,AB45348100,,IMG_7203.jpeg,1,百適歐膜衣錠５公絲,BISO F.C. TABLETS 5MG,BISOPROLOL FUMARATE 5 MG,C07AB07,34,Bisoprolol,Biso 百適歐 更換普康膜衣錠(bisoprolol),ingredient_match+brand_token_match+token_contains_match+zh_contains_match,high,strong_match,generic_name appears in official ingredient/name; official brand token hits: biso; official token hits: bisoprolol; official Chinese term hits: 百適歐,review_and_approve_mapping
AB46766100,AB46766100,,IMG_7202.JPG,1,"""信東"" 革理蔓錠２毫克",GLIMARYL TABLETS 2MG (GLIMEPIRIDE),GLIMEPIRIDE 2 MG,A10BB12,6,Glimepiride,Glimaryl 騐理蔓,ingredient_match+brand_token_match+token_contains_match,high,strong_match,generic_name appears in official ingredient/name; official brand token hits: glimaryl; official token hits: glimepiride,review_and_approve_mapping
AB57178100,AB57178100,,IMG_7564.jpeg,1,"""生達""壓立安膜衣錠150毫克","APROTAN F.C. TAB. 150MG ""STANDARD""",IRBESARTAN 150 MG,C09CA04,60,Irbesartan,Aprotan 壓利安,ingredient_match+brand_token_match+token_contains_match,high,strong_match,generic_name appears in official ingredient/name; official brand token hits: aprotan; official token hits: irbesartan,review_and_approve_mapping
AB57312100,AB57312100,,IMG_7391.jpeg,3,志樂恆膜衣錠50毫克,"ACARBOSE F.C. TABLETS 50MG ""CYH""",ACARBOSE 50 MG,A10BF01,86,Acarbose,Acarbose 志樂恆,ingredient_match+brand_token_match+token_contains_match+zh_contains_match,high,strong_match,generic_name appears in official ingredient/name; official brand token hits: acarbose; official token hits: acarbose; official Chinese term hits: 志樂恆,review_and_approve_mapping
AB58075100,AB58075100,,IMG_7290.jpeg; IMG_7658.jpeg; IMG_7660.JPG,4,"""生達""壓悅達持續性藥效錠30毫克","ADAPINE S.R.F.C. TAB. 30MG ""STANDARD""",NIFEDIPINE 30 MG,C08CA05,62,Nifedipine,Adapine/Adalat 壓悅達,ingredient_match+brand_token_match+token_contains_match+zh_contains_match,high,strong_match,generic_name appears in official ingredient/name; official brand token hits: adapine; official token hits: nifedipine; official Chinese term hits: 壓悅達,review_and_approve_mapping
AC19420100,AC19420100,,IMG_7658.jpeg,2,"""杏輝"" 痛疏達膜衣錠500毫克（每非那）","PONSTAL F.C. TABLETS 500MG ""SINPHAR"" (MEFENAMIC ACID)",MEFENAMIC ACID 500 MG,M01AG01,25,Mefenamic acid,Ponstan/Ponstal 博疏痛,ingredient_match+brand_token_match+token_contains_match,high,strong_match,"generic_name appears in official ingredient/name; official brand token hits: ponstal; official token hits: acid, mefenamic",review_and_approve_mapping
