drug_item_id,drug_item_generic_name,drug_item_brand_name,code_type,code_value,official_source_table,official_source_version,official_drug_name_zh,official_drug_name_en,official_ingredient,official_atc_code,match_method,confidence,review_status,review_decision,note_text,ready_to_apply
1,Bisoprolol,Concor 康肯,NHI,BC171251G0,official_nhi_drug_payment_staging,official_drug_raw_20260522,康肯５毫克,CONCOR 5,BISOPROLOL FUMARATE 5 MG,C07AB07,prescription_nhi_code,high,auto_accepted,approve,From drug_items.nhi_drug_code primary code; official NHI matches=1; evidence official_nhi_drug_payment_staging.id=105642; effective=1120401~9991231.,true
5,GLIMEPIRIDE 2MG + METFORMIN 50,Temilg F.C.  甜蜜克,NHI,AC60134100,official_nhi_drug_payment_staging,official_drug_raw_20260522,甜蜜克膜衣錠2/500毫克,Temilg F.C. Tablets 2/500mg,GLIMEPIRIDE 2 MG+METFORMIN HCL 500 MG,A10BD02,prescription_nhi_code,high,auto_accepted,approve,From drug_items.nhi_drug_code primary code; official NHI matches=7; evidence official_nhi_drug_payment_staging.id=39679; effective=1150401~9991231.,true
6,Glimepiride,Glimaryl 騐理蔓,NHI,AB46766100,official_nhi_drug_payment_staging,official_drug_raw_20260522,"""信東"" 革理蔓錠２毫克",GLIMARYL TABLETS 2MG (GLIMEPIRIDE),GLIMEPIRIDE 2 MG,A10BB12,prescription_nhi_code,high,auto_accepted,approve,From drug_items.nhi_drug_code primary code; official NHI matches=10; evidence official_nhi_drug_payment_staging.id=36606; effective=1150401~9991231.,true
7,CARDITONIN S.C. TABLETS,CARDITONIN S.C. TABLETS 心康寧,NHI,AC198951G0,official_nhi_drug_payment_staging,official_drug_raw_20260522,"""榮民""心康寧糖衣錠25毫克(待匹力達)","CARDITONIN S.C. TABLETS 25MG (DIPYRIDAMOLE) ""VPP""",DIPYRIDAMOLE 25 MG,B01AC07,prescription_nhi_code,high,auto_accepted,approve,From drug_items.nhi_drug_code primary code; official NHI matches=1; evidence official_nhi_drug_payment_staging.id=188156; effective=1030801~9991231.,true
12,Febuxostat,Fekuton/Fburic 服克痛,NHI,AC61850100,official_nhi_drug_payment_staging,official_drug_raw_20260522,服克痛膜衣錠80毫克,Fekuton Film Coated Tablets 80mg,Febuxostat 80 MG,M04AA03,prescription_nhi_code,high,auto_accepted,approve,From drug_items.nhi_drug_code primary code; official NHI matches=3; evidence official_nhi_drug_payment_staging.id=193694; effective=1150401~9991231.,true
17,Glimepiride2mg+Meformin500mg,Amaryl-M 美爾胰,NHI,BA24876100,official_nhi_drug_payment_staging,official_drug_raw_20260522,美爾胰膜衣錠 2/500 毫克,Amaryl M Film-coated Tablets 2/500mg,GLIMEPIRIDE 2 MG+METFORMIN HCL 500 MG,A10BD02,prescription_nhi_code,high,auto_accepted,approve,From drug_items.nhi_drug_code primary code; official NHI matches=10; evidence official_nhi_drug_payment_staging.id=38985; effective=1150401~9991231.,true
18,Tamsulosin,Harnalidge D 活路利淨,NHI,BC24403100,official_nhi_drug_payment_staging,official_drug_raw_20260522,活路利淨D 持續釋放口溶錠0.2毫克,Harnalidge D tablets 0.2mg,TAMSULOSIN HCL .2 MG,G04CA02,prescription_nhi_code,high,auto_accepted,approve,From drug_items.nhi_drug_code primary code; official NHI matches=10; evidence official_nhi_drug_payment_staging.id=26634; effective=1130401~9991231.,true
19,Zolpidem,Stilnox10mg 使蒂諾斯(管制藥),NHI,BC215311G0,official_nhi_drug_payment_staging,official_drug_raw_20260522,使蒂諾斯膜衣錠１０毫克,STILNOX FILM-COATED SCORED TABLETS 10MG,ZOLPIDEM TARTRATE 10 MG,N05CF02,prescription_nhi_code,high,auto_accepted,approve,From drug_items.nhi_drug_code primary code; official NHI matches=1; evidence official_nhi_drug_payment_staging.id=139975; effective=1080601~9991231.,true
21,Amlodipine,Norvasc 脈優,NHI,BC21571100,official_nhi_drug_payment_staging,official_drug_raw_20260522,脈優錠５毫克,NORVASC TABLETS 5MG,AMLODIPINE (BESYLATE) 5 MG,C08CA01,prescription_nhi_code,high,auto_accepted,approve,From drug_items.nhi_drug_code primary code; official NHI matches=11; evidence official_nhi_drug_payment_staging.id=106558; effective=1140401~9991231.,true
24,Atorvastatin,Lipitor 立普妥,NHI,BC22889100,official_nhi_drug_payment_staging,official_drug_raw_20260522,立普妥　膜衣錠４０毫克,LIPITOR FILM-COATED TABLETS 40MG,ATORVASTATIN (CALCIUM) 40 MG,C10AA05,prescription_nhi_code,high,auto_accepted,approve,From drug_items.nhi_drug_code primary code; official NHI matches=13; evidence official_nhi_drug_payment_staging.id=198092; effective=1150401~9991231.,true
