drug_item_id,current_generic_name,current_brand_name,current_aliases,current_nhi_drug_code,proposed_nhi_drug_code,proposed_source,proposed_confidence,official_drug_name_zh,official_drug_name_en,official_ingredient,source_photos,occurrence_count,dry_run_status,reason,would_update_fields
47,Pioglitazone,Glitos/Glutazone 欣促胰,,,AA48333100,prescription_ocr,high,欣促胰錠30毫克,GLUTAZONE TABLETS 30MG,PIOGLITAZONE 30 MG,IMG_7364.jpeg,2,ready_to_apply,single strong_match candidate and current nhi_drug_code is NULL,"nhi_drug_code,nhi_drug_code_source,nhi_drug_code_confidence,nhi_drug_code_verified_at,nhi_drug_code_note"
64,Propranolol,Propranolol(Inderol) 心律,,,AB091021G0,prescription_ocr,high,"""生達""心律錠10毫克",PROPRANOLOL TABLETS 10MG,PROPRANOLOL HCL 10 MG,IMG_7284.JPG,2,ready_to_apply,single strong_match candidate and current nhi_drug_code is NULL,"nhi_drug_code,nhi_drug_code_source,nhi_drug_code_confidence,nhi_drug_code_verified_at,nhi_drug_code_note"
40,Furosemide,Lasix/Rasitol 來喜妥,,,AB307491G0,prescription_ocr,high,來喜妥錠４０毫克（服樂泄麥）,RASITOL TABLETS 40MG (FUROSEMIDE),FUROSEMIDE 40 MG,IMG_7364.jpeg; IMG_7508.JPG,2,ready_to_apply,single strong_match candidate and current nhi_drug_code is NULL,"nhi_drug_code,nhi_drug_code_source,nhi_drug_code_confidence,nhi_drug_code_verified_at,nhi_drug_code_note"
58,Atenolol,Ateol(Tenomin)UROSIN 壓平樂,,,AB388671G0,prescription_ocr,high,"""生達""壓平樂膜衣錠５０毫克（阿廷諾）","ATEOL F.C. TABLETS 50MG ""STANDARD"" (ATENOLOL)",ATENOLOL 50 MG,IMG_7564.jpeg; IMG_7721.jpeg,3,ready_to_apply,single strong_match candidate and current nhi_drug_code is NULL,"nhi_drug_code,nhi_drug_code_source,nhi_drug_code_confidence,nhi_drug_code_verified_at,nhi_drug_code_note"
34,Bisoprolol,Biso 百適歐 更換普康膜衣錠(bisoprolol),,,AB45348100,prescription_ocr,high,百適歐膜衣錠５公絲,BISO F.C. TABLETS 5MG,BISOPROLOL FUMARATE 5 MG,IMG_7203.jpeg,1,ready_to_apply,single strong_match candidate and current nhi_drug_code is NULL,"nhi_drug_code,nhi_drug_code_source,nhi_drug_code_confidence,nhi_drug_code_verified_at,nhi_drug_code_note"
6,Glimepiride,Glimaryl 騐理蔓,,,AB46766100,prescription_ocr,high,"""信東"" 革理蔓錠２毫克",GLIMARYL TABLETS 2MG (GLIMEPIRIDE),GLIMEPIRIDE 2 MG,IMG_7202.JPG,1,ready_to_apply,single strong_match candidate and current nhi_drug_code is NULL,"nhi_drug_code,nhi_drug_code_source,nhi_drug_code_confidence,nhi_drug_code_verified_at,nhi_drug_code_note"
60,Irbesartan,Aprotan 壓利安,,,AB57178100,prescription_ocr,high,"""生達""壓立安膜衣錠150毫克","APROTAN F.C. TAB. 150MG ""STANDARD""",IRBESARTAN 150 MG,IMG_7564.jpeg,1,ready_to_apply,single strong_match candidate and current nhi_drug_code is NULL,"nhi_drug_code,nhi_drug_code_source,nhi_drug_code_confidence,nhi_drug_code_verified_at,nhi_drug_code_note"
86,Acarbose,Acarbose 志樂恆,,,AB57312100,prescription_ocr,high,志樂恆膜衣錠50毫克,"ACARBOSE F.C. TABLETS 50MG ""CYH""",ACARBOSE 50 MG,IMG_7391.jpeg,3,ready_to_apply,single strong_match candidate and current nhi_drug_code is NULL,"nhi_drug_code,nhi_drug_code_source,nhi_drug_code_confidence,nhi_drug_code_verified_at,nhi_drug_code_note"
62,Nifedipine,Adapine/Adalat 壓悅達,,,AB58075100,prescription_ocr,high,"""生達""壓悅達持續性藥效錠30毫克","ADAPINE S.R.F.C. TAB. 30MG ""STANDARD""",NIFEDIPINE 30 MG,IMG_7290.jpeg; IMG_7658.jpeg; IMG_7660.JPG,4,ready_to_apply,single strong_match candidate and current nhi_drug_code is NULL,"nhi_drug_code,nhi_drug_code_source,nhi_drug_code_confidence,nhi_drug_code_verified_at,nhi_drug_code_note"
25,Mefenamic acid,Ponstan/Ponstal 博疏痛,,,AC19420100,prescription_ocr,high,"""杏輝"" 痛疏達膜衣錠500毫克（每非那）","PONSTAL F.C. TABLETS 500MG ""SINPHAR"" (MEFENAMIC ACID)",MEFENAMIC ACID 500 MG,IMG_7658.jpeg,2,ready_to_apply,single strong_match candidate and current nhi_drug_code is NULL,"nhi_drug_code,nhi_drug_code_source,nhi_drug_code_confidence,nhi_drug_code_verified_at,nhi_drug_code_note"
