raw_nhi_drug_code,normalized_nhi_drug_code,occurrence_count,source_photos,current_join_status,classification,proposed_corrected_code,corrected_join_status,official_drug_name_zh,official_drug_name_en,official_ingredient,reason,recommended_next_action
AA48333100,AA48333100,2,IMG_7364.jpeg,matched,official_match,,not_needed,欣促胰錠30毫克,Glutazone Tablets 30mg,PIOGLITAZONE 30 MG,already joins official NHI staging,keep_for_review_candidate
AB091021G0,AB091021G0,2,IMG_7284.JPG,matched,official_match,,not_needed,"""生達""心律錠10毫克",PROPRANOLOL TABLETS 10MG,PROPRANOLOL HCL 10 MG,already joins official NHI staging,keep_for_review_candidate
AB230371GO,AB230371GO,3,IMG_7203.jpeg,unmatched,needs_manual_review,,unmatched,,,,does not satisfy strict NHI code pattern and no conservative correction matched official NHI,manual_review_or_exclude
AB307491G0,AB307491G0,2,IMG_7364.jpeg; IMG_7508.JPG,matched,official_match,,not_needed,來喜妥錠４０毫克（服樂泄麥）,RASITOL TABLETS 40MG (FUROSEMIDE),FUROSEMIDE 40 MG,already joins official NHI staging,keep_for_review_candidate
AB388671G0,AB388671G0,3,IMG_7564.jpeg; IMG_7721.jpeg,matched,official_match,,not_needed,"""生達""壓平樂膜衣錠５０毫克（阿廷諾）","ATEOL F.C. TABLETS 50MG ""STANDARD"" (ATENOLOL)",ATENOLOL 50 MG,already joins official NHI staging,keep_for_review_candidate
AB45348100,AB45348100,1,IMG_7203.jpeg,matched,official_match,,not_needed,百適歐膜衣錠５公絲,BISO F.C. TABLETS 5MG,BISOPROLOL FUMARATE 5 MG,already joins official NHI staging,keep_for_review_candidate
AB46766100,AB46766100,1,IMG_7202.JPG,matched,official_match,,not_needed,"""信東"" 革理蔓錠２毫克",GLIMARYL TABLETS 2MG (GLIMEPIRIDE),GLIMEPIRIDE 2 MG,already joins official NHI staging,keep_for_review_candidate
AB57178100,AB57178100,1,IMG_7564.jpeg,matched,official_match,,not_needed,"""生達""壓立安膜衣錠150毫克","Aprotan F.C. Tab. 150mg ""Standard""",IRBESARTAN 150 MG,already joins official NHI staging,keep_for_review_candidate
AB57312100,AB57312100,3,IMG_7391.jpeg,matched,official_match,,not_needed,志樂恆膜衣錠50毫克,"Acarbose F.C. Tablets 50mg ""CYH""",ACARBOSE 50 MG,already joins official NHI staging,keep_for_review_candidate
AB58075100,AB58075100,4,IMG_7290.jpeg; IMG_7658.jpeg; IMG_7660.JPG,matched,official_match,,not_needed,"""生達""壓悅達持續性藥效錠30毫克","Adapine S.R.F.C. Tab. 30mg ""Standard""",NIFEDIPINE 30 MG,already joins official NHI staging,keep_for_review_candidate
AC19420100,AC19420100,2,IMG_7658.jpeg,matched,official_match,,not_needed,"""杏輝"" 痛疏達膜衣錠500毫克（每非那）","PONSTAL F.C. TABLETS 500MG ""SINPHAR"" (MEFENAMIC ACID)",MEFENAMIC ACID 500 MG,already joins official NHI staging,keep_for_review_candidate
AC198951G0,AC198951G0,1,IMG_7367.JPG,matched,official_match,,not_needed,"""榮民""心康寧糖衣錠25毫克(待匹力達)","CARDITONIN S.C. TABLETS 25MG (DIPYRIDAMOLE) ""VPP""",DIPYRIDAMOLE 25 MG,already joins official NHI staging,keep_for_review_candidate
AC40106100,AC40106100,2,IMG_7285.JPG,matched,official_match,,not_needed,欣律錠100毫克,SYNORID TABLETS 100MG,ALLOPURINOL 100 MG,already joins official NHI staging,keep_for_review_candidate
AC414881G0,AC414881G0,4,IMG_7367.JPG; IMG_7562.JPG,matched,official_match,,not_needed,"""正和""暢循持續性膜衣錠400毫克（配妥西菲林）","FYLIN RETARD F.C. TABLETS 400MG ""C.H.""(PENTOXIFYLLINE)",PENTOXIFYLLINE 400 MG,already joins official NHI staging,keep_for_review_candidate
AC414881GO,AC414881GO,2,IMG_7464.jpeg,unmatched,needs_manual_review,,unmatched,,,,does not satisfy strict NHI code pattern and no conservative correction matched official NHI,manual_review_or_exclude
AC415191G0,AC415191G0,6,IMG_7284.JPG; IMG_7508.JPG; IMG_7658.jpeg; IMG_7675.JPG,matched,official_match,,not_needed,"""強生"" 福安源錠０．２５公絲（氟二氮平）","FLUPINE TABLETS 0.25MG (FLUDIAZEPAM) ""JOHNSON""",FLUDIAZEPAM 250 MCG,already joins official NHI staging,keep_for_review_candidate
AC484721GO,AC484721GO,1,IMG_7203.jpeg,unmatched,needs_manual_review,,unmatched,,,,does not satisfy strict NHI code pattern and no conservative correction matched official NHI,manual_review_or_exclude
AC4D106100,AC4D106100,2,IMG_7564.jpeg,unmatched,likely_ocr_confusion,AC40106100,matched,欣律錠100毫克,SYNORID TABLETS 100MG,ALLOPURINOL 100 MG,OCR ambiguity corrected AC4D106100 -> AC40106100,manual_review_corrected_code_then_stage
AC57805100,AC57805100,9,IMG_7282.jpeg; IMG_7284.JPG; IMG_7364.jpeg; IMG_7396.JPG; IMG_7624.jpeg; IMG_7660.JPG; IMG_7721.jpeg,matched,official_match,,not_needed,"""生達"" 立舒脂膜衣錠20毫克","Atorva F.C. Tab. 20mg ""Standard"" (Atorvastatin)",ATORVASTATIN (CALCIUM) 20 MG,already joins official NHI staging,keep_for_review_candidate
AC578051D0,AC578051D0,2,IMG_7627.JPG,unmatched,likely_ocr_confusion,AC57805100,matched,"""生達"" 立舒脂膜衣錠20毫克","Atorva F.C. Tab. 20mg ""Standard"" (Atorvastatin)",ATORVASTATIN (CALCIUM) 20 MG,OCR ambiguity corrected AC578051D0 -> AC57805100,manual_review_corrected_code_then_stage
